#,Hierarchy Tier,Brand Name,State / Origin (HQ),Creator Handle,Followers,Views / Plays (Est.),Likes,Comments,Like-to-View %,Creator ER%,Post Date,Direct Instagram URL,Boost Status & Classification,Caption Preview
341,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@angelinofficial_,534124,1801363,97371,205,5.41%,18.27%,2026-04-06,https://www.instagram.com/p/DWyC9s-E2Pu/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (97,371 likes) indicates paid media support",Happy to experience the all-new Vivo V70 FE with Tech specialist
342,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@ravish_shetty_,394631,1792872,96912,1000,5.41%,24.81%,2025-12-28,https://www.instagram.com/p/DSz090gjcWA/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.54x) on macro creator,"Apple Days at Vijay Sales. Deals so good, even enemies deserve them."
343,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@ravish_shetty_,394631,1792872,96912,1000,5.41%,24.81%,2025-09-20,https://www.instagram.com/p/DO0KbjsDf6J/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.54x) on macro creator,Jaisa Anna waise hi uski amma 😂
344,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@ravish_shetty_,394631,1792872,96912,1000,5.41%,24.81%,2024-12-30,https://www.instagram.com/p/DEMTkg1shyf/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.54x) on macro creator,Anna ka ego agar hurt kiya toh iPhone ana confirm hai 😂
345,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@sheetal.gauthaman,593038,1787100,96600,430,5.41%,16.36%,2025-10-12,https://www.instagram.com/p/DPtc4D8D2nw/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (96,600 likes) indicates paid media support","When mom’s sixth sense says “shop smart,” she chooses Reliance Digital’s Festival of Electronics! ♥️✨"
346,Tier 3: Toggle OFF + Boosted,Bajaj Electronics,Telangana & Andhra Pradesh (HQ: Hyderabad),@sheetal.gauthaman,593038,1787100,96600,430,5.41%,16.36%,2025-06-13,https://www.instagram.com/p/DK1vba7JcD2/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (96,600 likes) indicates paid media support",Apple Days = Happy Days 🤗
347,Tier 3: Toggle OFF + Boosted,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@shrutiayodhyase,98837,1785213,96498,439,5.41%,98.08%,2026-08-14,https://www.instagram.com/p/DcA0iqaRoyh/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (96,498 likes) indicates paid media support",Call: 8114590717 / 8114590721 @aditya_vision ✅
348,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@shivam.mov,117180,1782641,96359,382,5.41%,82.56%,2025-07-26,https://www.instagram.com/p/DMktz0pIyU3/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (15.21x) on macro creator,"Got my hands on the new Vivo X200FE from Croma and wandered through Mumbai watching its culture, colour and chaos unfold through my lens."
349,Tier 3: Toggle OFF + Boosted,Pai International,Karnataka & Telangana (HQ: Bengaluru),@weekendvibes_365,225415,1778146,96116,223,5.41%,42.74%,2026-06-26,https://www.instagram.com/p/DaDkBdCyL0H/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (7.89x) on macro creator,STOP SCROLLING.
350,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@lovely_charu_unique,265431,1772522,95812,248,5.41%,36.19%,2025-05-25,https://www.instagram.com/p/DKEy6SGR7jL/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (6.68x) on macro creator,@sathya.retail Sathya super sale is happening from May 28 - 31
351,Tier 3: Toggle OFF + Boosted,Great Eastern,West Bengal & East India (HQ: Kolkata),@mango_knowsball,34335,1756556,94949,528,5.41%,278.08%,2026-06-29,https://www.instagram.com/p/DaLGSEVyYDj/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,949 likes) indicates paid media support",YE WORLD CUP MAZAK NAHI HAI😤😤
352,Tier 3: Toggle OFF + Boosted,Great Eastern,West Bengal & East India (HQ: Kolkata),@tinnirnachghor,67123,1753929,94807,1137,5.41%,142.94%,2026-06-25,https://www.instagram.com/p/DaAgP28geC-/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,807 likes) indicates paid media support",Football fans don’t need a jersey. ⚽✨
353,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@aswincharu__official,679440,1746622,94412,996,5.41%,14.04%,2026-02-21,https://www.instagram.com/p/DVBCbRhAWrP/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,412 likes) indicates paid media support",😍பாப்பாவ Photo எடுக்கறாங்க எங்க அம்மம்மா🥹♥️
354,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@aswincharu__official,679440,1746622,94412,996,5.41%,14.04%,2025-11-02,https://www.instagram.com/p/DQip7HiATac/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,412 likes) indicates paid media support",♥️Don’t miss the biggest shopping day of the month!
355,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@aswincharu__official,679440,1746622,94412,996,5.41%,14.04%,2025-10-03,https://www.instagram.com/p/DPWREORgXjB/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,412 likes) indicates paid media support",😍The moon is rising and so are the deals!
356,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@aswincharu__official,679440,1746622,94412,996,5.41%,14.04%,2025-08-06,https://www.instagram.com/p/DNBD3qsBjqh/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,412 likes) indicates paid media support",♥️Get ready for the Full Moon Sale at @sathya.retail  happening this August 8 from morning 9 AM to midnight 12! Don’t miss special offers on ACs and w
357,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@aswincharu__official,679440,1746622,94412,996,5.41%,14.04%,2025-04-15,https://www.instagram.com/p/DId_-exPINQ/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,412 likes) indicates paid media support",Pre-bookings are now LIVE for the Vivo V50e at @sathya.retail ! Grab yours today and enjoy an amazing  offer on a calling smartwatch or Bluetooth spea
358,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@aswincharu__official,679440,1746622,94412,996,5.41%,14.04%,2025-02-13,https://www.instagram.com/p/DGA7YUuiUdo/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,412 likes) indicates paid media support",😍Kulukulu AC offer for Hot Summer  @sathya.retail !
359,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@imsubu_,582040,1740369,94074,375,5.41%,16.23%,2025-08-06,https://www.instagram.com/p/DNBIChoT_jr/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,074 likes) indicates paid media support",Ore Room la 30 peru Thoonguvom🙄🥹💯
360,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@imsubu_,582040,1740369,94074,375,5.41%,16.23%,2025-02-20,https://www.instagram.com/p/DGTFp_6SHKz/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (94,074 likes) indicates paid media support",Kovama Irukaalo?😮 seri Cool panniduvom😍🔥
361,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@thenkadalmeenavan,824524,1718502,92892,634,5.41%,11.34%,2026-07-27,https://www.instagram.com/p/DbTK1Jtqv1h/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (92,892 likes) indicates paid media support",Coming July 29 🌕 Full Moon Sale @ Sathya 🔥
362,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@bigg_nerds,873795,1716874,92804,560,5.41%,10.69%,2025-06-27,https://www.instagram.com/p/DLZ3y7mSZbM/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (92,804 likes) indicates paid media support",Iska Matlab Samje Jaya @Vijaysalesofficial me jaao aur Samsung ka slimmest phone Galaxy S25 Egde lelo💪
363,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@karthikeyan___offl,148244,1700409,91914,382,5.41%,62.26%,2025-03-26,https://www.instagram.com/p/DHqlhCSzEFr/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (11.47x) on macro creator,Mega Year end Sale at @sathya.retail!
364,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@karthikeyan___offl,148244,1700409,91914,382,5.41%,62.26%,2025-03-12,https://www.instagram.com/p/DHGb7AmTadj/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (11.47x) on macro creator,Sathya FULL MOON LED TV SUPER SALE - Live on 14th March 2025 -Morning 9 AM To Midnight 12 AM- One Day Only -
365,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@purewalparamjit,341228,1687736,91229,660,5.41%,26.93%,2026-08-09,https://www.instagram.com/p/Db02Rl3Tcrg/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.95x) on macro creator,"Papa da calculator kehnda, “Stop Spending!” 🧮😂"
366,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@purewalparamjit,341228,1687736,91229,660,5.41%,26.93%,2025-10-14,https://www.instagram.com/p/DPyoH8wE0sa/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.95x) on macro creator,What are you waiting for? 🎉 It's the best Muhurat to upgrade! ✨
367,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@purewalparamjit,341228,1687736,91229,660,5.41%,26.93%,2025-08-08,https://www.instagram.com/p/DNF6hFxyIvl/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.95x) on macro creator,Thinking of upgrading your tech? Now’s the time!
368,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@d_starrr_,178372,1682519,90947,484,5.41%,51.26%,2025-07-19,https://www.instagram.com/p/DMSofawyZ7p/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (9.43x) on macro creator,Unboxing the laptop never felt more emotional 😭
369,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@vijayvikram77,183975,1642855,88803,86,5.41%,48.32%,2025-10-11,https://www.instagram.com/p/DPqHrjCDK1_/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (8.93x) on macro creator,"Jaise main har cheez ka sahi time batata hu, waise hi aapke tech upgrade ka sahi muhurat bhi leke aaya hu — and that is now!"
370,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@aakash_itis,268930,1637509,88514,557,5.41%,33.12%,2025-10-13,https://www.instagram.com/p/DPv9toWErzp/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (6.09x) on macro creator,The perfect time to upgrade your tech is now! 🎉
371,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@sk_entertainer03,1409670,1635048,88381,213,5.41%,6.28%,2026-08-11,https://www.instagram.com/p/Db5wgvzPMVq/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (88,381 likes) indicates paid media support",Phone venum …📲😱…💯wait for end….🫵🏻.. #tamil #comedy #shivaentertainer03
372,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@ramya_chari_05,896063,1634197,88335,401,5.41%,9.90%,2025-09-19,https://www.instagram.com/p/DOyQZnwgRPu/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (88,335 likes) indicates paid media support","Hisense 100 inch U7Q Mini LED TV officially launched @sathya.retail . With VIDAA smart OS updates for 8 years, this TV stands as global’s no.1 in the "
373,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@siddhant_sarfare,730608,1629480,88080,890,5.41%,12.18%,2025-08-27,https://www.instagram.com/p/DN2X55A5KQe/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (88,080 likes) indicates paid media support",Vahini ani Bhauji TATHASTU…..😌
374,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@saraswathy.vijay,83609,1621358,87641,634,5.41%,105.58%,2025-08-10,https://www.instagram.com/p/DNLJNRDS03y/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (87,641 likes) indicates paid media support",I went for a date😅🙅‍♀️ hubby கூட ஒரு walk😁 we launched the viral tv📺. The wait is over!  @sathya.retail  proudly presents the official launch of the H
375,Tier 3: Toggle OFF + Boosted,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@faiz_vlogger__,296242,1611849,87127,361,5.41%,29.53%,2026-08-14,https://www.instagram.com/p/DcBHZGHJHBz/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (5.44x) on macro creator,"🇮🇳 आज़ादी का जश्न, बंपर बचत के संग! 🔥"
376,Tier 3: Toggle OFF + Boosted,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@ji_abhishek_ji_,433301,1601730,86580,425,5.41%,20.08%,2026-04-15,https://www.instagram.com/p/DXJh1rbk9RU/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (86,580 likes) indicates paid media support","Chahe classes ho, content creation ho ya complex assignments—ab sab handle ho jaata hai effortlessly with the HP OmniBook 5 AI PC, jahan performance a"
377,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@garimashares,193213,1592239,86067,150,5.41%,44.62%,2025-08-01,https://www.instagram.com/p/DMz_2SzTdB8/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (8.24x) on macro creator,"There’s something about Delhi, the chaos, the charm, and the constant hustle. And now, something new has arrived to match its energy."
378,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@itspreetha_official,360136,1588521,85866,97,5.41%,23.87%,2025-12-10,https://www.instagram.com/p/DSFbe9NjKQy/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.41x) on macro creator,"@sathya.retail happily launched the vivo x300 series, featuring the extraordinary ZEISS APO Telephoto Camera — a masterpiece built for photography per"
379,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@policouples,995962,1574479,85107,1799,5.41%,8.73%,2025-08-19,https://www.instagram.com/p/DNibCg2hQ8d/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (85,107 likes) indicates paid media support",Power that lasts all day! @sathya.retail proudly launched the stunning vivo v60 with a massive 6500 mAh battery .
380,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@udhayasumathi_official,1531607,1569651,84846,298,5.41%,5.56%,2025-02-20,https://www.instagram.com/p/DGS9Ai6yVDw/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (84,846 likes) indicates paid media support",A Cool Summer for Your Family! ❄️👨‍👩‍👧‍👦
381,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@farina_azad_official,1405602,1569318,84828,403,5.41%,6.06%,2025-07-31,https://www.instagram.com/p/DMxtMpMon4o/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (84,828 likes) indicates paid media support",Why spend hours editing when your voice can do it in seconds?
382,Tier 3: Toggle OFF + Boosted,Tata Neu,"Pan-India / Maharashtra (HQ: Mumbai, Tata Digital)",@soultravel_vipan,818737,1566395,84670,579,5.41%,10.41%,2025-02-19,https://www.instagram.com/p/DGPT-bVB8yi/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (84,670 likes) indicates paid media support",I’m STILL in shock—my all-time FAVORITE singer performing LIVE right in front of me!! 🤩🎤✨
383,Tier 3: Toggle OFF + Boosted,Tata Neu,"Pan-India / Maharashtra (HQ: Mumbai, Tata Digital)",@soultravel_vipan,818737,1566395,84670,579,5.41%,10.41%,2025-02-14,https://www.instagram.com/p/DGDdexoh3uh/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (84,670 likes) indicates paid media support","Have you ever been to an Arijit Singh concert?  If not, this is your time! ✨"
384,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@kongunaatusuvai,364438,1563712,84525,518,5.41%,23.34%,2025-11-02,https://www.instagram.com/p/DQikiSwgbE7/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.29x) on macro creator,மசாலா முட்டை பொரியல் | must try egg recipe ❤️
385,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@kongunaatusuvai,364438,1563712,84525,518,5.41%,23.34%,2025-03-10,https://www.instagram.com/p/DHAcb8FJ0oH/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.29x) on macro creator,நாவூரும் மாங்காய் குழம்பு...! Must try recipe ever 😋
386,Tier 3: Toggle OFF + Boosted,Pai International,Karnataka & Telangana (HQ: Bengaluru),@ursteajuice,841082,1560567,84355,744,5.41%,10.12%,2026-04-01,https://www.instagram.com/p/DWljKGaE3Q2/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (84,355 likes) indicates paid media support",ಗಡಿಬಿಡಿ ಸಂಸಾರ😂🤣🔥
387,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@nikhila_sankar_,287961,1559420,84293,228,5.41%,29.35%,2025-12-04,https://www.instagram.com/p/DR13Sq-gebw/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (5.42x) on macro creator,"@sathya.retail Experience the all-new Vivo X300 & X300 Pro with 23mm and 50mm ZEISS lenses, including a 200MP ZEISS main camera. Powered by the Pro Im"
388,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@nikhila_sankar_,287961,1559420,84293,228,5.41%,29.35%,2025-10-04,https://www.instagram.com/p/DPY1cZbgfF6/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (5.42x) on macro creator,Newly married wife Day 1 vs Day 30✨🔥💯
389,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@eattripclick,880139,1556719,84147,496,5.41%,9.62%,2026-01-06,https://www.instagram.com/p/DTKMgmRk3kF/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (84,147 likes) indicates paid media support","As a creator, I’m always looking out for stories. This story began at @Croma.retail where I picked up the Vivo X300."
390,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@durgarajiv9,1159333,1550818,83828,233,5.41%,7.25%,2025-08-12,https://www.instagram.com/p/DNP9aLrxKlE/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,828 likes) indicates paid media support","Celebrate Independence with Big Savings! Sathya's Independence Day super offer From Aug 14-17, @sathya.retail brings you special offers on all home ap"
391,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@durgarajiv9,1159333,1550818,83828,233,5.41%,7.25%,2025-01-24,https://www.instagram.com/p/DFMsuXex101/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,828 likes) indicates paid media support",Republic day super offer at our @sathya.retail
392,Tier 3: Toggle OFF + Boosted,Bajaj Electronics,Telangana & Andhra Pradesh (HQ: Hyderabad),@demon_pavan,606685,1545601,83546,287,5.41%,13.82%,2026-01-15,https://www.instagram.com/p/DThrHq-E4Po/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,546 likes) indicates paid media support","Power, style, and value – all in one at Bajaj Electronics with Mi! 🚀"
393,Tier 3: Toggle OFF + Boosted,Bajaj Electronics,Telangana & Andhra Pradesh (HQ: Hyderabad),@demon_pavan,606685,1545601,83546,287,5.41%,13.82%,2025-03-10,https://www.instagram.com/p/DHBUB6zI3VN/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,546 likes) indicates paid media support",Beat the summer heat with Bajaj Electronics!
394,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@itssarathhere,1152248,1542437,83375,322,5.41%,7.26%,2025-12-18,https://www.instagram.com/p/DSZ13oZEphK/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,375 likes) indicates paid media support",Make this Christmas extra special with @sathya.retail White Christmas Sale ♥️
395,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@itssarathhere,1152248,1542437,83375,322,5.41%,7.26%,2025-09-21,https://www.instagram.com/p/DO24gbmEusG/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,375 likes) indicates paid media support","GST 2.0 Super Discount Sale is here at @sathya.retail . Govt cut GST from 28% to 18% for ACs, LED TVs, and Dishwashers, means massive price drops star"
396,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@itssarathhere,1152248,1542437,83375,322,5.41%,7.26%,2025-07-24,https://www.instagram.com/p/DMfTFvgSUfG/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,375 likes) indicates paid media support",@sathya.retail Apple Day Sale ALERT!
397,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@itssarathhere,1152248,1542437,83375,322,5.41%,7.26%,2025-05-25,https://www.instagram.com/p/DKE3AF3y15G/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,375 likes) indicates paid media support",@sathya.retail Sathya super sale is happening from May 28 - 31.
398,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@itssarathhere,1152248,1542437,83375,322,5.41%,7.26%,2025-04-09,https://www.instagram.com/p/DIOrhNQSOid/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,375 likes) indicates paid media support",Hey there!  Apple Days are coming to @sathya.retail – only from April 11 to 14!
399,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@chaitaliandharshil,963201,1539496,83216,436,5.41%,8.68%,2025-09-30,https://www.instagram.com/p/DPOluuSEk_y/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,216 likes) indicates paid media support",Festive season = wife & mom take all the decisions… my only role? Diwali cleaning 🧹😂
400,Tier 3: Toggle OFF + Boosted,Tata Neu,"Pan-India / Maharashtra (HQ: Mumbai, Tata Digital)",@chaitaliandharshil,963201,1539496,83216,436,5.41%,8.68%,2025-09-28,https://www.instagram.com/p/DPJqPrciMAj/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,216 likes) indicates paid media support","Moments like these remind us—ghar mein maa ka trust jeetna easy nahi hota. 😅 But jab wife ne bola, maa ne turant maana. And honestly, she was right…"
401,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@lock_and_key_couple,323957,1537775,83123,209,5.41%,25.72%,2026-06-19,https://www.instagram.com/p/DZwvBOpvhYK/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (4.75x) on macro creator,Love Days 🫶😍 becomes Samsung Days 😂
402,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@kavi_lach,531246,1537609,83114,626,5.41%,15.76%,2025-11-03,https://www.instagram.com/p/DQlTwkQk5SQ/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,114 likes) indicates paid media support",Don’t miss the biggest shopping day of the month!
403,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@kavi_lach,531246,1537609,83114,626,5.41%,15.76%,2025-07-06,https://www.instagram.com/p/DLw6KOdxgNM/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (83,114 likes) indicates paid media support",The Oppo Reno 14 Series is Here!
404,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@praveenaprincy07,179063,1537368,83101,491,5.41%,46.68%,2025-04-11,https://www.instagram.com/p/DIToD5cSM2Y/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (8.59x) on macro creator,Adada 😍 OMG💛
405,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@focusedindian,1624166,1524881,82426,476,5.41%,5.10%,2025-12-19,https://www.instagram.com/p/DScnnHXiFZE/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (82,426 likes) indicates paid media support","Sarfare Vahini ko electronics pe toh discount mil gaya @croma.retail mein, par mere fatko se usko kaunsa discount dega?"
406,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@anu_vignesh_,166164,1523012,82325,345,5.41%,49.75%,2025-10-04,https://www.instagram.com/p/DPYEU5sCSP4/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (9.17x) on macro creator,The moon is rising and so are the deals!
407,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@kanishk.r_,22360,1520496,82189,153,5.41%,368.26%,2025-07-19,https://www.instagram.com/p/DMShjpVyyUX/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (82,189 likes) indicates paid media support",So I got a coffee machine??? I’ve been so excited about this. I’ve been making coffee every way possible without one and now I finally get to make it 
408,Tier 3: Toggle OFF + Boosted,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@muskan_arts_0,1926046,1510007,81622,411,5.41%,4.26%,2025-10-20,https://www.instagram.com/p/DQBhJ2_EvtR/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (81,622 likes) indicates paid media support",Meet the all-new Redmi 15 5G
409,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@tom_jerry_settaigal,300667,1503920,81293,218,5.41%,27.11%,2025-12-04,https://www.instagram.com/p/DR1J5LLkYCG/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (5.0x) on macro creator,Yean pa pregnant ah iruka ponna kasta paduthura🥲
410,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@tom_jerry_settaigal,300667,1503920,81293,218,5.41%,27.11%,2025-04-18,https://www.instagram.com/p/DIlkb0Kyy1z/,🚀 Boosted (Paid Ad Spend): High view-to-follower reach multiplier (5.0x) on macro creator,Oru new mobile vanga enalam panna vendayatha iruku😒😅
411,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@divya_ganesan_official,1062611,1503680,81280,776,5.41%,7.72%,2026-01-23,https://www.instagram.com/p/DT2p3naAZ-S/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (81,280 likes) indicates paid media support",@sathya.retail Sathya Republic Day Sale is Live!
